Title,Description,Labels,Priority,Status
[A1] iTech DB eligibility audit,"TDD §3. Select ingestible ERs: created after 2023-01-01, has Theme links, correct issue type, valid/partial approved-VS ground truth. Status: Missing (likely backend/infra-owned). Define contract + fake-tested selector.",ingestion;tdd,Medium,Backlog
[A2] Align Jira fetch + enrichment to TDD fields,"TDD §2-3. Extraction + LLM summary + VS fuzzy match + direct/implied. Status: Partial (exists across ingestion/jira, ground_truth, summary); realign field names to TDD.",ingestion;tdd,Medium,Backlog
[A3] Cosmos historic IDMT document model + repository,"TDD §4.1-4.3. Top-level fields + properties + properties.themes[]. Status: Missing (storage/cosmos + data_ingestion/idmt are skeletons).",ingestion;cosmos;tdd,High,Backlog
[A4] Cosmos Value Stream catalogue ingestion (Sightline),"TDD §2,§4.6-4.7. valueStreamId/Name/Description from Sightline. Status: Missing (only the 50-VS approved registry of names exists). Blocks B6 valueStreamId.",ingestion;cosmos;catalogue;tdd,High,Backlog
[A5] Cosmos Stage / L2 / L3 catalogues + stage->L2/L3 mappings,"TDD §2,§6.2. Governs stage prediction + L2/L3 capabilities. Status: Missing. Blocks C3, C6, C7.",ingestion;cosmos;catalogue;tdd,High,Backlog
[A6] idp_idmt_data unified index schema (entityType),"TDD §4.4-4.7. content/content_vector + properties; historical IDMT doc + valueStream doc separated by entityType. Status: Partial (current index_documents uses a different schema). Foundational.",ingestion;search;tdd,High,Backlog
[A7] Attachment extraction priority (PPT->PDF->DOC, top-4),"TDD §3,§5.2. PPT/PPTX first, top-4; idea_card.ppt/pptx detection. Status: Partial (idea-card-first done; add PPT-priority ordering + .ppt/.pptx naming).",ingestion;jira;tdd,Medium,Backlog
[A8] Unified-index uploader/manager (dry-run-safe),"TDD §4. Upload both entity types to idp_idmt_data. Status: Partial (theme-gen uploader exists; align to A6 schema).",ingestion;search;tdd,Medium,Backlog
[B1] Condense step (summaryFields + generationSignals),"TDD §5.1. Single LLM pass -> summaryFields + generationSignals (evidence objects {text,source,sourceSection}, empty when absent, never invented). Status: Missing. CORE dependency for VS + all theme calls.",value-stream;condense;tdd,High,Backlog
[B2] Ticket context extraction -> normalized context,"TDD §5.2. Idea-card-first -> normalized context object. Status: Partial (builds on A7 + runtime ticket-id wiring).",value-stream;tdd,Medium,Backlog
[B3] Retrieval lanes vs idp_idmt_data,"TDD §5.3. VS catalogue lane (entityType=valueStream, top-50) + historical ER lane (entityType=EngagementRequest, top-6, user-selectable). Status: Partial (two-source retrieval exists; align to index schema).",value-stream;search;tdd,Medium,Backlog
[B5] Split review-pool LLM selection into two parallel calls,"TDD §5.5. Two parallel calls + merge/dedupe/validate. Status: Partial (single pass today). Previously deferred - HIGH risk, needs eval before changing behavior.",value-stream;tdd;risk,Medium,Backlog
[B6] Add valueStreamId to VS selection output,"TDD §5.5. Resolve valueStreamId/Name to catalogue; confidence, bucket direct/implied, reason, source tickets, default top 10 + custom instruction. Status: Partial (contract mostly matches; needs A4 catalogue).",value-stream;tdd,Medium,Backlog
[B7] VS/stage quality-metrics + eval harness,"TDD §5.6. Precision/recall for VS and stages + latency. Status: Partial (eval tests exist; formalize harness).",value-stream;eval;tdd,Low,Backlog
[C1] HITL approval gate for theme generation,"TDD §6.1. No theme output until SME confirms the VS set. Status: Missing (composition runs straight through).",theme;tdd,High,Backlog
[C2] Async/parallel theme orchestration,"TDD §6.1. Stage prediction || description; then Business Needs / L2 / L3 fan out off stage output. Status: Missing (sequential today).",theme;tdd,High,Backlog
[C3] Stage prediction w/ governed catalogue + richer output,"TDD §6.2. Governed Cosmos stage list + summaryFields + select generationSignals; output stageId, rank, reason, evidence, validationStatus. Status: Partial (summary-only done; needs A5/B1).",theme;stage;tdd,Medium,Backlog
[C4] Structured Theme Description output,"TDD §6.2. themeOverview, productAvailability?, initiativeOverview, keyFeatures, digitalExperience?, integrationOperationalCapabilities?. Status: Partial (flat string today).",theme;tdd,Medium,Backlog
[C5] Structured per-stage Business Needs output,"TDD §6.2. Array per stage: businessProductFeatures{featureName, numbered needs, notes, dependencies, businessRules}, operationalTraining?, operationalReporting?, validationStatus. Status: Partial (flat string today).",theme;tdd,Medium,Backlog
[C6] L2 capabilities from Cosmos stage->L2 mappings,"TDD §6.2. Grouped by stage; name/description/reason. Status: Partial (freeform today; needs A5).",theme;capabilities;tdd,Medium,Backlog
[C7] L3 capabilities from Cosmos stage->L3 mappings,"TDD §6.2. Parallel with L2, off stage output. Status: Partial (freeform today; needs A5).",theme;capabilities;tdd,Medium,Backlog
[C9] Final Theme package assembly + validationStatus,"TDD §6.3. Assemble C3-C8 into the TDD package shape; recommendation-until-approved. Status: Partial.",theme;tdd,Medium,Backlog
[D1] Backend API contracts,"Submit ticket_id -> VS recommendations; approve VS set; trigger theme generation; return theme package. theme_generation.service is the facade. Status: Missing/design.",backend;api;tdd,Medium,Backlog
[D2] Async orchestration layer + progress/streaming,"Drives the C2 fan-out; request/response contracts. Status: Design.",backend;api;tdd,Medium,Backlog
[D3] Persist recommendations + SME feedback to Cosmos,"Depends on A3. Status: Missing.",backend;cosmos;tdd,Low,Backlog
